Designator,Mid X,Mid Y,Rotation,Layer
C95,141.7655,-205.2676,270.0,top
C96,141.7472,-244.8916,270.0,top
C97,111.4538,-267.335,0.0,top
C98,111.4408,-254.508,0.0,top
C99,175.387,-247.129,90.0,top
D1,127.0883,-156.9984,270.0,top
D10,180.9121,-113.9256,180.0,top
D100,173.3705,-318.4134,0.0,top
D101,181.3969,-321.4934,90.0,top
D102,134.5237,-319.0664,270.0,top
D103,134.5237,-326.4488,270.0,top
D104,212.0383,-313.689,180.0,top
D105,204.4855,-313.689,180.0,top
D106,204.4691,-318.4134,0.0,top
D107,212.5119,-321.4934,90.0,top
D108,243.2115,-313.689,180.0,top
D109,235.6603,-313.689,180.0,top
D11,173.3085,-113.9256,180.0,top
D110,235.6931,-318.4134,0.0,top
D111,243.5507,-321.5442,90.0,top
D12,173.3085,-118.7008,0.0,top
D13,181.3349,-121.7808,90.0,top
D14,134.4617,-119.3538,270.0,top
D15,134.4617,-126.7362,270.0,top
D16,180.9047,-153.5186,180.0,top
D17,173.3011,-153.5186,180.0,top
D18,173.3011,-158.2938,0.0,top
D19,181.3275,-161.3738,90.0,top
D2,127.0883,-166.9552,270.0,top
D20,134.4543,-158.9468,270.0,top
D21,134.4543,-166.3292,270.0,top
D22,211.9763,-113.9764,180.0,top
D23,204.4235,-113.9764,180.0,top
D24,211.9689,-153.5694,180.0,top
D25,204.4161,-153.5694,180.0,top
D26,204.3997,-158.2938,0.0,top
D27,212.4425,-161.3738,90.0,top
D28,204.4071,-118.7008,0.0,top
D29,243.1421,-153.5694,180.0,top
D3,118.9603,-156.9548,270.0,top
D30,235.5909,-153.5694,180.0,top
D31,235.6237,-158.2938,0.0,top
D32,243.4813,-161.4246,90.0,top
D33,212.4499,-121.7808,90.0,top
D34,243.1495,-113.9764,180.0,top
D35,235.5983,-113.9764,180.0,top
D36,235.6311,-118.7008,0.0,top
D37,243.4887,-121.8316,90.0,top
D38,120.8105,-264.1346,180.0,top
D39,127.1605,-197.7898,270.0,top
D4,118.9603,-166.9552,270.0,top
D40,127.1605,-207.7466,270.0,top
D41,119.0325,-197.7462,270.0,top
D42,119.0325,-207.7466,270.0,top
D43,180.9769,-194.31,180.0,top
D44,173.3733,-194.31,180.0,top
D45,173.3733,-199.0852,0.0,top
D46,181.3997,-202.1652,90.0,top
D47,134.5265,-199.7382,270.0,top
